contrast_id,contrast_var,biosample_id_col,control_grp,experimental_grp,strata,covariates,filter_col_1,filter_val_1,latent_corr_vars
18_hr_NMMA,treatment,sample_accession,no_treatment,18_hr_NMMA,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,donor_accession,treatment,18_hr_NMMA|no_treatment,
18hr_IL-1b+IFN-g,treatment,sample_accession,no_treatment,18hr_IL-1b+IFN-g,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,donor_accession,treatment,18hr_IL-1b+IFN-g|no_treatment,
18hr_IL-1b+IFN-g+NMMA,treatment,sample_accession,no_treatment,18hr_IL-1b+IFN-g+NMMA,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,donor_accession,treatment,18hr_IL-1b+IFN-g+NMMA|no_treatment,
24h_Thapsigargin,treatment,sample_accession,24h_DMSO,24h_Thapsigargin,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,donor_accession,treatment,24h_Thapsigargin|24h_DMSO,
2Hr_Thapsigargin,treatment,sample_accession,no_treatment,2Hr_Thapsigargin,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,donor_accession,treatment,2Hr_Thapsigargin|no_treatment,
4Hr_Thapsigargin,treatment,sample_accession,4Hr_DMSO,4Hr_Thapsigargin,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,donor_accession,treatment,4Hr_Thapsigargin|4Hr_DMSO,
6hr_IFN-g,treatment,sample_accession,no_treatment,6hr_IFN-g,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,donor_accession,treatment,6hr_IFN-g|no_treatment,
6hr_IL-1b,treatment,sample_accession,no_treatment,6hr_IL-1b,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,donor_accession,treatment,6hr_IL-1b|no_treatment,
6hr_IL-1b+IFN-g,treatment,sample_accession,no_treatment,6hr_IL-1b+IFN-g,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,donor_accession,treatment,6hr_IL-1b+IFN-g|no_treatment,
DHT_10nM,treatment,sample_accession,EtOH,DHT_10nM,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,donor_accession,treatment,DHT_10nM|EtOH,
