Tissue	CellType	Description	Genes	Confidence	NumGenes	Category
Pan-tissue	All cells	Age - Core senescence program: universal CDKN2A/p21 cell cycle arrest across tissues	CDKN2A|CDKN1A|CDKN2B|TP53|RB1|GLB1|SERPINE1|LMNB1|HMGA1|HMGA2|CDK4|CDK6|CCND1|E2F1|MDM2	High	15	Age
Pan-tissue	All cells	Age - SASP: senescence-associated secretory phenotype (universal cross-tissue)	IL6|IL8|CXCL1|CXCL2|CXCL3|CXCL8|CCL2|CCL3|CCL4|CCL5|CCL7|CCL8|CCL13|CCL20|MMP1|MMP3|MMP10|MMP12|SERPINE1|IGFBP3|IGFBP5|IGFBP7|GDF15|AREG|TIMP1|CSF2|IL1A|IL1B	High	28	Age
Pan-tissue	All cells	Age - Telomere maintenance: shelterin complex and telomerase components	TERT|TERC|TERF1|TERF2|TERF2IP|POT1|ACD|RAP1|TINF2|TPP1|RTEL1|DKC1|NHP2|NOP10|GAR1	High	15	Age
Pan-tissue	All cells	Age - Mitochondrial dysfunction: OXPHOS decline and mitophagy across tissues	PPARGC1A|TFAM|NRF1|NDUFS7|NDUFA9|NDUFC1|IDH3A|MDH2|SUCLG1|COX5B|ATP5F1A|PINK1|PRKN|BNIP3|BNIP3L|MFN1|MFN2|OPA1|DRP1|SIRT1|SIRT3	High	21	Age
Pan-tissue	All cells	Age - DNA damage response: universal age-associated DDR activation	ATM|ATR|BRCA1|PARP1|H2AFX|GADD45A|GADD45B|ERCC1|ERCC4|XRCC1|OGG1|MUTYH|MLH1|MSH2|RAD51|TP53BP1|CHEK1|CHEK2	High	18	Age
Pan-tissue	All cells	Age - Inflammaging: NF-kB driven chronic inflammation across tissues	NFKB1|NFKB2|RELA|IKBKB|TNF|IL1B|IL6|IL18|NLRP3|PYCARD|CASP1|CGAS|STING1|IRF3|MYD88|TLR2|TLR4|IRAK1|STAT3	High	19	Age
Pan-tissue	All cells	Age - Epigenetic clock genes: methylation-based aging biomarkers	ELOVL2|FHL2|TRIM59|KLF14|PENK|NHLRC1|SCGN|EDARADD|CCDC102B|MIR29B2CHG|DNMT1|DNMT3A|DNMT3B|TET1|TET2|TET3	High	16	Age
Pan-tissue	All cells	Age - Oxidative stress response: ROS defense declining with age	SOD1|SOD2|CAT|GPX1|GPX4|PRDX1|PRDX3|TXNRD1|TXNRD2|NFE2L2|KEAP1|HMOX1|NQO1|GSTP1|GSTM1	Medium	15	Age
Pan-tissue	All cells	Age - Circadian rhythm disruption: clock gene dysregulation in aging	CLOCK|ARNTL|PER1|PER2|PER3|CRY1|CRY2|NR1D1|NR1D2|RORA|RORB|DBP|TEF|BHLHE40|BHLHE41|NPAS2|CSNK1D|CSNK1E	Medium	18	Age
Pan-tissue	All cells	Age - Chromatin remodeling: age-associated epigenetic regulators	HDAC1|HDAC2|HDAC3|SIRT1|SIRT6|SIRT7|KDM6A|EZH2|SUV39H1|HP1A|CTCF|LMNB1|LMNA|H3F3A|H3F3B|ATRX	Medium	16	Age
Pan-tissue	Immune cells	Age - Immune aging: myeloid/lymphoid skewing and immunosenescence markers	B2M|CD14|CD74|C1QA|C1QB|C1QC|C3|C3AR1|ITGAX|IRF1|IRF8|LAPTM5|PTPN6|LBP|CD52|CD55|TBX21|IL7|IL15|IL32|IL34	Medium	21	Age
Pan-tissue	Fibroblasts	Age - ECM remodeling: collagen/matrix genes altered with tissue aging	COL1A1|COL1A2|COL3A1|COL15A1|ELN|FBN1|LOX|LOXL2|MMP2|MMP9|TIMP1|TIMP2|ADAMTS2|PLOD2|SPARC|THBS1|THBS2	Medium	17	Age
Pan-tissue	Endothelial	Age - Vascular aging: endothelial dysfunction and angiogenesis decline	PLVAP|EPHB4|ANGPT1|ANGPTL4|VEGFA|VEGFB|KDR|NOS3|PECAM1|CDH5|VWF|SELE|ICAM1|VCAM1|THBD|PROCR	Medium	16	Age
Pan-tissue	All cells	Age - Proteostasis decline: autophagy and UPR dysregulation	BECN1|ATG5|ATG7|ATG12|SQSTM1|MAP1LC3B|LAMP1|LAMP2|HSPA5|HSP90B1|DDIT3|ATF4|ATF6|EIF2AK3|XBP1|ERN1|CALR	Medium	17	Age
Pan-tissue	Stem cells	Age - Stem cell exhaustion: age-related regenerative decline markers	TERT|BMI1|NANOG|SOX2|KLF4|MYC|NOTCH1|NOTCH2|WNT3A|CTNNB1|LGR5|ASCL2|OLFM4|HOPX|LRIG1|BMI1|EZH2	Low	17	Age
Pan-tissue	All cells	Age - Novel Gemini-identified aging genes: tissue-wide expression changes	SFTPB|SFTPD|GFAP|BMP2|BMP6|STC1|NKX2-1|DPYD|MT2A|APOD|ABCA8|EHD4|COL15A1|CSF1|CSF2RB|TGFBI	Low	16	Age
Pan-tissue	All cells (male)	Sex - Y-chromosome genes: universally male-biased across all GTEx tissues	SRY|RPS4Y1|RPS4Y2|EIF1AY|DDX3Y|KDM5D|USP9Y|UTY|ZFY|NLGN4Y|TXLNGY|PCDH11Y|TGIF2LY|AMELY|PRKY|TMSB4Y	High	16	Sex
Pan-tissue	All cells (female)	Sex - X-chromosome escape genes: consistent female-biased expression in GTEx	XIST|JPX|FTX|KDM6A|KDM5C|DDX3X|EIF1AX|ZFX|RPS4X|USP9X|SMC1A|ASMTL|SLC25A6|P2RY8|AKAP17A|CD99|VAMP7|SPRY3|PUDP	High	19	Sex
Pan-tissue	All cells	Sex - Autosomal sex-biased genes: hormone-responsive transcription factors	ESR1|ESR2|AR|PGR|GPER1|ESRRA|SHBG|CYP19A1|SRD5A1|SRD5A2|HSD17B1|HSD17B3|HSD3B1|STAR|CYP17A1|CYP11A1	High	16	Sex
Pan-tissue	All cells	Sex - GTEx sex-biased expression: top autosomal genes across 44 tissues	GREB1|NRIP1|FOSL1|TF|CELSR2|HNF4A|HKDC1|FURIN|RNASET2|TSPAN6|TSNARE1|CD40LG|EDA2R|EGFL6|FAM9B|DCAF12L1|MSL3|CAVIN1|CAVIN4|CCL28	High	20	Sex
